{'@Cade_BladeSSB Actually u might just switch to wario or pika so nvr mind'}
{'HOLD ON YOU DONT PLAY PIKA YOU MEAN I ACC CAN BEAT U? I HAVE A SHOT? https://t.co/FjhSLi7yi6'}
{'@ddee_ssbu lil dude needed some nerfs but they overdid it, would like to see him buffed a bit and pikachu gutted 👍'}
{'@ArcadiaPSI Pika also does damage, has amazing combos, the best recovery in the game imo, a great neutral, amazing defensive options, a get out of jail free card in up b and amazing edge guarding flowcharts'}
{'@ArcadiaPSI Pikachu also has so many tools'}
{'@Zillerbucko @RollerOverHere @Mando_SSBU that isnt how it works u cant be bi and exclusively like one gender'}
{'@Mando_SSBU you are either a lesbian or straight depending on your gender'}
{'One of the few characters to beat pikachu https://t.co/XolpxCP0Wp'}
{'well well well.. so guys we did it. pikachu is no more. #shiek #ssbu #smashbros https://t.co/nwIvX1bUYP'}
{'@ddee_ssbu Doesn’t cosmos think pika is even? I do to cuz of varying reasons. however saying cosmos add more credibility to this.'}
{"@IceyRat @buff_ssbu Yeah, this sums it up well. It's very volatile and if anyone wins it's Pika, but Elegant has beat ESAM in Ult (at EVO) and he thinks the matchup is even. I think if anyone wins, it's Pika, but it's not by much."}
{'@buff_ssbu He stuffs pika well in neutral and on ledge and his punish game is very ya know Luigi 😐.  Its could  be  plus  because  pika  has  the  advantage  in  neutral  and  gimps  luigi  hard  so  ye'}
{'RT @IceyRat: My New pikachu 9.0 matchup chart. DISCUSS *even though I prob don’t care what you have to say lmao* https://t.co/tVwpBa8CRO'}
{'@ddee_ssbu Ok with everything except Lucas and ylink they, imo are even. Pika is more likely -0,5'}
{"@ddee_ssbu Imo pt loses, but we've talked about this.\n\nPikachu is even imo because t jolt is not a problem to deal with due to bair baiting it out and extending its hurtbox. I just think it's even but potentially losing.\n\nImo we body falcon its so hard for them"}
{'@ddee_ssbu @RollerOverHere pika gets beat out by bair we dont really care about tjolt hes not hard to kill and he cant edgeguard us'}
{'@RollerOverHere PT doesn’t lose\nHow is pika even?\nFalcon isn’t -2 but it’s definitely bad for him'}
{'@Mando_SSBU @Jimwin_Jim @trislosherz @waterratboi I’ve played pichu a decent amount and pika, Link, Corrin, Belmonts, cloud, and Chroy all feel harder like way harder. I’d put pichu in like the middle of -1'}
{'@EdiblePinePlays @Jimwin_Jim @trislosherz @waterratboi no way bro\nit is def -1 but one of the "harder" ones\nBelmonts are the only -2\nPika is debatably the same with pichu'}
{'@NC_Nex @drayden___ @Roller_Out @ch1mera_ant @ddee_ssbu Rob, Samus, Pac, Fox, Mario, Wario, Shulk \n\nMaybe Peach / Pikachu but imo even \n\nSo 9 max'}
{'@ch1mera_ant @Roller_Out @ddee_ssbu Imo, Shulk, Rob, Pika, Wario, and Pac-Man. The last two are only -0.5'}
{'@Mando_SSBU Lmao, that’s fair. I am actually working on playing more campy/defensive and I do have a pocket pika'}
{'@GamerInASociety Bro ik i see ur pfp\nbut u look like a pika main actually ;-;\nU play very campy but will go in when you feel like it but the problem is that 50% of the time u get punished for it LMAO\nHigh Level Player'}
{'@OriPlant U play like a bitch\nUh U play Pikachu\nAnd ur bad\nLMAO JK\nRN ur def on a grind\nYou play neutral OKAY but u struggle in some aspects\nYou play Duck Hunt bro ;-;\nLower High Level'}
{'@Mando_SSBU Pika for combo strings, Mario’s is a great spacing tool and good combo finisher option that deals good damage. Sonic’s and Wolf’s bairs are straight up kill moves and g&amp;w also has a good bair which is one of his many spacing moves and Yoshi’s can kill and space'}
{"@IceyRat @buff_ssbu There's a some I could see him beating slightly: both rats (you might disagree here, you play Pika), Min Min, Ridley, Inkling, Steve, and Fox, for example."}
{"@shaggy_link @DLeon420 @Sparg0ssb I don't think it's actually an accident. iirc, every villain loses the mu vs their protag counterpart.\n\nMario beats Bowser\nLinks beat Ganon\nDK beats Krool\nSamus beats Ridley\nMario beats DK\nPikachu beats Mewtwo\nSo on and so forth"}
{'@Wolfen_SSBU All of them. If I can’t do that then pika'}
{'@MercuryMenace Who would you remove from Ultimate between Pikachu, Zelda, and Ness?'}
{'@A_AroundGamer yeah wayyy more fun than pika'}
{'@DaVivid_ssbu Ikr? So fun, much more fun than pika.'}
{'@GRNT_Mr_L youre playing pika it dont count lol'}
{'@storm_ssbu same'}
{"@FiKnight_Pika I hope he isn't a pedo"}
